Song_ID,Lyrics
35008525,오늘 하루 어땠었나요많이 힘들었나요쉬지 않고 달려왔던 길에서나와 함께 쉬어가요그냥 아무런 준비도 없이떠나볼까요평범해도 좋으니까우리 함께 가요Du Du Du Du Du행복 가득 담은 배낭 하나 메고서답답했던 일상과 도심을 벗어나Du Du Du DuDu Du Du Du떠나볼래요힘껏 살다 보니 무뎌져헝클어진 머리도괜찮다며 그댈 안아줄 사람바로 그대 곁에 있죠까만 선글라스 하나 챙겨서떠나볼까요평범해도 좋으니까우리 함께 가요Du Du Du Du Du행복 가득 담은 배낭 하나 메고서답답했던 일상과 도심을 벗어나Du Du Du DuDu Du Du Du떠나볼래요우리 함께 가요Du Du Du Du Du행복 가득 담은 배낭 하나 메고서답답했던 일상과 도심을 벗어나Du Du Du DuDu Du Du Du떠나볼래요우리 함께 가요Du Du Du Du DuDu Du Du DuDu Du Du Du떠나볼래요Du Du Du DuDu Du Du Du떠나볼래요Du Du Du DuDu Du Du Du지금 떠나요
33589260,"You know what it isB. girls are back, Brave SoundWe're gonna be ""Summer Queens""You ready? We are ""BRAVE GIRLS""     Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh OhOh Oh Oh Oh Oh Oh Oh Oh Oh Oh Oh  Just wanna give ur love날 보는 눈빛에 분명 적혀있어내게 Rollin' in the deep (Rollin' Rollin')I don't want ""지루함"" or ""따분함"" Oh get away 난 더 특별함을 원해 너에게푸른 바람 불어와두 볼을 스칠 때 (Hey)또 괜히 나 왜 두근거려 왜 (왜)Call me ""Desperado""뭐래도 몰라도 돼오늘만은 내 멋대로Go far away치맛바람이 불어와 (불어와)내게도 사랑이 찾아와 Yeah뜨거운 햇살이 비춰와 (비춰와)아름다운 여름밤이라구요살랑 살랑 살랑 불어 기분 좋은 날에바람 바람 바람 이 시원한 바람찰랑 찰랑 찰랑 이 푸른 바닷가에바람 바람 바람 치 맛 바 람눈치 따위는 안 보여 Babe(널 향한 내 맘에)내숭 따위는 Get nah Joy Babe(This is my way)Your eyes on my body눈 떼지 못해 넌부디 오늘 밤은 I don't let you goOoh baby I mean You know푸른 바람 불어와두 볼을 스칠 때 (Hey)또 괜히 나 왜 두근거려 왜 (왜)Call me ""Desperado""뭐래도 몰라도 돼오늘만은 내 멋대로Go far away치맛바람이 불어와 (불어와)내게도 사랑이 찾아와 Yeah뜨거운 햇살이 비춰와 (비춰와)아름다운 여름밤이라구요살랑 살랑 살랑 불어 기분 좋은 날에바람 바람 바람 이 시원한 바람찰랑 찰랑 찰랑 이 푸른 바닷가에바람 바람 바람 치 맛 바 람너와 함께 있고 이 밤은 빛나는데Now I'm Fearless 난 없어 무서울게I know 너도 내 맘과 같은 걸We're just falling in loveLet's Go!Oh Oh Oh Oh Oh Oh (Oh Babe)Oh Oh Oh Oh Oh Oh Oh (시원한 이 바람)Oh Oh Oh Oh Oh Oh (Oh Babe Babe)치 맛 바 람"
3536906,오오오오오오 오오오오오오  오오오오오오오오 걸었어 그냥 걸었어  니 생각이 나 또 걸었어 길잃은 어린아이처럼  갈 곳을 몰라 눈물이 나 너와 내가 닮아간 기억 너와 내가 아팠던 기억  모두 소중해 주르르르륵 주르르르륵 눈물이 흘러 기억이 흘러  아직 너를 사랑하나봐 가지마 사랑 사랑 사랑 아아아아 제발 제발 가지마 아아아눈물투성이 상처투성이  내 가슴은 어떡해 아파 아파 아파 가지마 사랑아 오오오오오오 오오오오오오  날 떠나 떠나 가지마 오오오오오오 오오오오오오  날 떠나 떠나 가지마 비오는 우울한 날에는  니가 생각나 눈물이 나 너와 내가 웃었던 기억 너와 내가 다퉜던 기억 모두 소중해 주르르르륵 주르르르륵 눈물이 흘러 기억이 흘러  아직 너를 사랑하나봐 가지마 사랑 사랑 사랑 아아아아 제발 제발 가지마 아아아눈물투성이 상처투성이  내 가슴은 어떡해 아파 아파 아파  소리쳐 소리쳐 불러도  아무리 니 이름 불러도 대답없는 너 혼자 남겨진  난 난 어떡해가지마 사랑 사랑 사랑 아아아아 제발 제발 가지마 아아아눈물투성이 상처투성이  내 가슴은 어떡해 아파 아파 아파  가지마 사랑아
32725013,욕을 하도 먹어 체했어 하도서러워도 어쩌겠어 I do모두들 미워하느라 애썼네날 무너뜨리면 밥이 되나 외로워서 어떡해미움마저 삼켰어화낼 힘도 없어여유도 없고뭐 그리 아니꼬와가던 길 그냥 가왜들 그래 서럽게 마리아 마리아 널 위한 말이야빛나는 밤이야 널 괴롭히지마오 마리아 널 위한 말이야뭐 하러 아등바등해이미 아름다운데(yeah) Oh na ah ah (yeah) 널 위한 말이야(yeah) Oh na ah ah(yeah) 아름다워 마리아 No frame no fake지끈 지끈거려하늘은 하늘색 사는 게 다 뻔해내가 갈 길은 내가 바꾸지 뭐위기는 기회로 다 바꾸지 뭐굳이 우는 꼴이 보고 싶다면 옜다 눈물  외로워서 어떡해미움마저 삼켰어화낼 힘도 없어이유도 없고마음을 더럽히지마타락하기엔 아직 일러마리아 마리아 널 위한 말이야빛나는 밤이야 널 괴롭히지마오 마리아 널 위한 말이야뭐 하러 아등바등해이미 아름다운데 (yeah) Oh na ah ah(yeah) 널 위한 말이야(yeah) Oh na ah ah(yeah) 아름다워 마리아마리아 마리아 널 위한 말이야빛나는 밤이야 널 괴롭히지마오 마리아 널 위한 말이야뭐 하러 아등바등해이미 아름다운데(yeah) Oh na ah ah(yeah) 널 위한 말이야(yeah) 널 위한 말이야(yeah) 아름다워 마리아
33150997,요즘 들어 바쁘게 시간을 보냈지아끼던 내 신발 색이 바랬으니불과 몇 달 만에많은 것이 변했나 봐너는 내게 찾아와서 물어How you feelWell I feel love I feel blessed과분하게 많이 받은 것 같아지금까지 날 도와준 이들이름 하나하나빠짐없이 여기에 남기기로 했지이곳에 오기 전에난 그저 방구석에서변하는 게 무서웠기에 두꺼운이불을 덮어놨네의사 선생님이 말했지조금은 다를지몰라도 Gotta see yourself당연한 말이지만은난 기준을 남에게뒀었지 I know이제서야 주변을 봐지금껏 남은 친구들과떠나지 않은 사람들 모두를기억해 나는 이 곡에다가너무 늦게 말을 건네넌 당연하게 웃어줬네but I can never right my wrongs적어두지 않는다면적어놨네 Credit고마웠던 사람들에게너무 많은 Page네가 나올 때까지 읽었으면 해Baby it’s your birthday괜찮아 오늘은 내가 몰래 낼게네가 말해 전부 다 얼마We likefast cars fast money시간은 눈 깜짝할 사이빨리 흘러가지어제 자주 듣던 노래 역시내일이 오면 잊혀져내 사진도 흐릿해져 가지많이 했던 고민도 어느덧생각조차 안 나고하나도 거슬리지 않게유지해 핸드폰의 매너 모드Cuz I know that나는 조금도특별하지 않아 정말로but I don't wanna die young바람처럼 왔다 가긴 싫어 절대아무도 날 몰라봤을 때를 난 기억해나는 원해 영원히 남기를너의 기억 속에이 막이 내리고 음악이 흐르면모두 떠나가겠지만 잠시 남아줘짧은 영화라고너는 느낄 수도 있지만스쳐가는 많은 이름 어딘가에I might be in yourCredit고마웠던 사람들에게너무 많은 Page네가 나올 때까지 읽었으면 해Baby it’s your birthday괜찮아 오늘은 내가 몰래 낼게네가 말해 전부 다 얼마죽일 듯이 화를 내도내일이면 전부 식어싫어도 뭐 어쩌겠어 이게 나의 직업미소 지어 웃음꽃 담배 피워 죽은 목술을 먹고 분을 토해침대 누워 잠을 청해잠이 안 와 어제 했던멍청했던 실수 덕에음이 나간 내 인생은작곡가의 짐을 더해정리해봐 Credit 오토튠은 우리 가족좋은 노래였었구나이제서야 음이 맞아I might be on your credit참아 왔지 너무 오래아쉬워 눈물이 흘러내린대도 속이 편할지도 몰라검은 화면 속의 CreditI’ll be waitingfor the happy ending올라가는 수많은 이름들 사이난 기도해끝이 아니길I wish I make it till the last dayI wish I make it till the last dayI wish I make it till the last dayI wish I make it till the last
3532821,"Be on Top Be on Top Be on TopGotta goDon't you wanna be on topCan't you see that I can't stopWatch and listencause it's hot hot hot럭셔리하게 좀 더 핫 하게양심 말고 진한 눈길 받아볼래고민 따윈 No 맘에 들면 Yes내 식대로 가는 거야 당당하게Seven days all day 똑같은건 정말 따분해느낌이 가는 데로나를 색칠하고 싶은 걸난 TOP Girl톡톡톡 튀는 HOT Girl반할걸 녹녹녹 녹아들걸매력이 터져 Boom 한 순간 Boom완전히 Boom Boom 터질 것 같아쏙 끌려 와와와 느낌이 와내게 와와와 짜릿한 눈길이 와 Wow 이런 기분 최고야날 말릴 수 없을 거야난 TOP TOP GIRL Oh Oh Oh Yeah가끔 미친 척 혼자 예쁜 척내 멋대로 내키는 대로 놀아 볼래너무 즐거워 너무 재밌어눈치 볼 거 뭐 있겠어 가는 거야Ah Say whatSeven days all day 더 새롭게 나를 표현해가슴이 뛰는 대로짜릿하게 뭔가 다르게나는 TOP Girl톡톡톡 튀는 HOT Girl반할걸 녹녹녹 녹아들걸매력이 터져 Boom 한 순간 Boom완전히 Boom Boom 터질 것 같아쏙 끌려 와와와 느낌이 와 내게 와와와 짜릿한 눈길이 와 Wow 이런 기분 최고야날 말릴 수 없을 거야난 TOP TOP GIRL투정부릴 것 같은말괄량이로 날 보지마No 난 달라Everything을 새롭게 태어날꺼야지켜봐나는 TOP Girl톡톡톡 튀는 HOT GirlHmm, Yeah나는 TOP Girl톡톡톡 튀는 HOT GirlSay What나는 TOP Girl톡톡톡 튀는 HOT Girl반할걸 녹녹녹 녹아들걸매력이 터져 Boom 한 순간 Boom완전히 Boom Boom 터질 것 같아쏙 끌려 와와와 느낌이 와 내게 와와와 짜릿한 눈길이 와 Wow 이런 기분 최고야날 말릴 수 없을 거야난 Top Top girlOh Oh OH Yeah"
31113240,이불처럼 나를 덮어 Yeah Yeah끝이 없는 기쁨을 가져 Yeah Yeah너의 입술이 가까울 때심장이 자꾸 멎을듯해어쩐지 오늘 너를 볼 때 나익숙함보단 설렘이 더 커이런저런 말로 설명하지 않을게혹시나 말론 다 보이지 않을까 봐그저 나의 손바닥이 너의 손을감쌀 때처럼 따뜻하기를 바래이불처럼 나를 덮어 Yeah Yeah끝이 없는 기쁨을 가져 Yeah Yeah아침에 눈 뜨기 시작할 때부터너만 생각해 내 맘이 벅차올라 Ay눈이 감길 때내 팔이 네 머리를 감싸널 받치고 싶어 나 AyDo you feel the same지금 Push 내 버튼을 켜줘Do you feel the same빛이 되어 넌 날 더 밝혀줘Do you feel the same지금 Push 내 버튼을 켜줘Do you feel the same빛이 되어 넌 날 더 밝혀줘Crazy이런저런 말로 설명하지 않을게혹시나 말론 다 보이지 않을까 봐그저 나의 손바닥이 너의 손을감쌀 때처럼 따뜻하기를 바래이불처럼 나를 덮어 Yeah Yeah끝이 없는 기쁨을 가져 Yeah Yeah손깍지 끼고 새벽을 건너온매일 아침이 너였음 좋겠어Uh 시간이 아까워채워주고 또 나눠줄 게 너무 많아Do you feel the same지금 Push 내 버튼을 켜줘Do you feel the same빛이 되어 넌 날 더 밝혀줘내가 채울게 너의마음속까지 거의빈 곳이 없어질 때까지Yeah Yeah Yeah Yeah나의 온기가 널조금씩 물들여서로 진하게 번져가 더Yeah Yeah Yeah Yeah네가 예뻐서 그래 그래네가 예뻐서 그래 그래감정이 조절이 안되는 건네가 너무 좋아서 그래 그래내 말이 거짓말 같애난 지금이 거짓말 같애너만이 날 만들어Do you feel the same만든 건 전부 네 것지금 Push 내 버튼을 켜줘Do you feel the same빛이 되어 넌 날 더 밝혀줘내가 채울게 너의마음속까지 거의빈 곳이 없어질 때까지Yeah Yeah Yeah Yeah나의 온기가 널조금씩 물들여서로 진하게 번져가 더Yeah Yeah Yeah YeahDo you feel the same오늘따라 더Yeah Yeah Yeah Yeah UhDo you feel the same오늘따라 더 넌 나를 밝혀줘
3758104,잘 지내고 있는건지 무슨 일 없는지지겹던 너의 잔소리가 너무 그리워서그렇게 나 하나밖에 모르던 너인데나 없이도 괜찮은지하루에 수백번씩 나 후회를 하고네가 없다는걸 느끼며 나 매일을 살아널 위해 내가 떠나야 하는게 맞지만난 널 잊고 살 순 없는가봐나를 사랑했던 사람아 이젠 곁에 없지만아직 잊지 못하고 너를 잊지 못하고그저 한번이라도 다시 볼 수 있다면볼 수만 있다면 다시 널 볼 수 있다면너무나도 아프고 잊을 수가 없어하루에도 몇번씩 하던 너의 그 투정이웃으며 내 품에 안겨서 날 보던 모습이헤어지던 날 너의 두 눈이나를 사랑했던 사람아 이젠 곁에 없지만아직 잊지 못하고 너를 잊지 못하고그저 한번이라도 다시 볼 수 있다면널 볼 수만 있다면네가 있어서 나는 항상 웃을 수 있었고네가 있기에 내가 가장 행복했었고너로 인해 내 삶도 살아볼만했었어내가 너무도 사랑했던 사람아
31684634,퇴근 시간 전에는시간이 너무 느리게 가는데왜 집에만 오면 시간이 너무 빨라서아쉬워 제대로 못 쉬고평일 일과 중에는시간이 너무 느리게 가는데왜 주말만 되면 시간이 너무 빨라서아쉬워 제대로 못 자고그냥 시간이똑같이 흘러가기만이라도좋은 순간만은 천천히사랑의 꿈에 취해뒤척이는 밤이라도당신과 함께 순간만은 천천히당신과는 천천히 당신과는 천천히그저 시간이똑같이 흘러가기만이라도좋은 순간만은 천천히사랑의 꿈에 취해뒤척이는 밤이라도당신과 함께 순간만은 천천히당신과는 천천히 당신과는 천천히아쉬운 밤과 이별이 무서워요나는 내일 하루 시작이우 이 모든 밤을 천천히좋은 사람 당신 당신과는 천천히그녀를 보면서 짧은 밤들을그녀를 보면서 잠못 드네요그녀를 보면서 짧은 밤들을그녀의 곁에서 당신과는 천천히
32794652,언제부턴가 불쑥내 습관이 돼버린 너혹시나 이런 맘이어쩌면 부담일까널 주저했어언제부턴가 점점내 하루에 스며든 너아침을 깨우는 네 생각에어느샌가 거리엔어둠이 젖어 들고취기를 빌려오늘 너에게 고백할 거야하루하루 네가 좋다고괜히 어색할까혼자 애만 태우다끝끝내 망설여왔던 순간알잖아 나 무뚝뚝하고말도 없는 걸서툰 표현이 쑥스러워서 괜히쓰다 지울 문자만 바라보다멋쩍은 쓴웃음만언제부턴가 가끔너와 마주칠 때마다한참을 머뭇거린어설픈 손 인사만오늘 밤도 후회로 잦아들고취기를 빌려오늘 너에게 고백할 거야하루하루 보고 싶다고괜히 어색할까 혼자 애만 태우다수없이 연습해왔던 그 말알잖아 나 무뚝뚝하고말도 없는 걸서툰 표현이 쑥스러워서 괜히쓰다 지울 문자만 바라보다멋쩍은 쓴웃음만첫눈을 빌려오늘은 꼭 고백할 거야작은 너를 품에 안고서눈을 마주하고너무 사랑한다고함께 하고 싶다고
