Song_ID,Genre,Lyrics
34693330,"R&B/Soul, 인디음악",I’ve been planted undergroundAnd shit was getting colderCan u pls give me some waterI’ve been undercoverPassing twenty winters and thenI was getting tallerCan u pls give me some waterI’ve been undercoverI’ve been planted undergroundAnd shit was getting colderCan u pls give me some waterI’ve been undercoverPassing twenty winters and thenI was getting tallerCan u pls give me some waterI’ve been undercoverMy love do u remember my faceU don’t know meso don’t call me namesMy love hold upbetter give me some spaceU don’t know meso don’t call me namesWhy u don’t ever let me growWhy u don’t ever let me growWhy u don’t ever let me growWhy u don’t ever let me growI’ve been planted undergroundAnd shit was getting colderCan u pls give me some waterI’ve been undercoverPassing twenty winters and thenI was getting tallerCan u pls give me some waterI’ve been undercoverI’ve been planted undergroundAnd shit was getting colderCan u pls give me some waterI’ve been undercoverPassing twenty winters and thenI was getting tallerCan u pls give me some waterI’ve been undercover
631039,"CCM, 어린이",오늘은 예수님 탄생하신 날 난 무슨선물 할까요 동방박사 아저씨들처럼 값진것 내게 없어요 하지만 엄마말이 맞아 이세상에서 가장귀한건 값비싼 보물이 아니고 내마음속에 있는걸 그럼 나는 무슨 선물로 예수님생일 축하할까 난 한참동안 생각 했어요 (난 무슨선물을 드리지?) (아 그래!) 빨간리본 만들어 예쁘게 가슴에달고 예수님 생일 선물로 바로 나를 드릴래요 그러면 우리예수님정말 참 기뻐하실거에요 예수님 이 세상에서 날 제일 좋아하시거든요 ..
36045110,"CCM, 국내CCM",감사해요 주님께 귀한 생명 주심을지나온 하루하루 모두 주님의 은혜당신가는 그 길에 주님 축복 하시리당신의 삶을 통해 주님 뜻 이뤄지길축하해요 당신의 기쁜 오늘 생일을하나님 형상으로 소중한 당신 모습당신은 주의 자녀 주님 사랑하시네당신의 삶을 통해 주께 영광돌리리당신가는 그 길에 주님 축복 하시리당신의 삶을 통해 주님 뜻 이뤄지길당신은 주의 자녀 주님 사랑하시네당신의 삶을 통해 주께 영광돌리리당신의 삶을 통해 주께 영광돌리리
74119,"댄스, R&B/Soul",우리 둘이 만난 후처음맞는 내 생일아직까진 너와나어색한 사이지만너무 큰 꿈일지 몰라도바라는 선물있어입맞춤을 해봤으면내가 너무 성급하다고아직은 아니란걸나 자신도 알고있어사실은 혼자만의 바램이야그냥 내앞에서 웃어줘내 생일을 예쁜 미소로그저 축복해주기만난 바랄뿐이야약속했던 자리에마주보는 너와나왜 머리속엔 엉뚱한생각만 가득할까너의 천사같은 미소에내 자신 부끄러워숨을 곳을 찾고싶어그래 우린 아직까지는손도 한번 못잡은풋내나는 사랑이야그 때 갑자기 너의 입술이나에게 다가오고 있었어그 후 느낌은 말을 해줘도아무도 다 모를거야이 순간을 영원히 느끼고싶어시간이 멈춰줬으면내 기분 높은 하늘을 날아헤매고야 말았어누구도 아닌 사랑스러운어여쁜 너와 함께그 누구에게도얘기하지 말아야지이런 느낌을 사랑스러운그 애와 둘이서만간직하고픈 입맞춤의느낌은 나에겐 정말잊을 수 없는 생일 선물이었어사실은 혼자만의 바램이야그냥 내앞에서 웃어줘내 생일을 예쁜 미소로그저 축복해주기만난 바랄뿐이야그 누구에게도얘기하지 말아야지이런 느낌을 사랑스러운그 애와 둘이서만간직하고픈 입맞춤의느낌은 나에겐 정말잊을 수 없는 생일 선물이었어
36094352,"키즈, 교과서동요",생일 축하합니다생일 축하합니다사랑하는 당신의생일 축하합니다생일 축하합니다생일 축하합니다사랑하는 당신의생일 축하합니다생일 축하합니다
82416,발라드,스무살 그때 이후로내 나이 난 의미가 없어새로운 세상을 대한 마음이 중요한 것뿐그즘에 만난 그녀와 처음 단 둘이 함께한 생일은아직도 내 가슴속에 얼어붙은 그림오늘도 느껴가는 건결국 모두 외로운 사람들어깨를 나란히 하고 따뜻한 얘기가 들리고친구라는 아름다운 이름이너무도 소중한 인생그런 이름으로 나의 가슴에 살던 너오늘은 나의 생일노래 소리 가득한데조금씩 날 빗겨가는 음악이 슬퍼져나의 진짜 생일은아직 안왔는지도 몰라내가 진정 나로 태어나는 날내 나이 스무살쯤에 나이그때 우리 웃음소리가 바람에 전해져널 다시 만나고 가득 안는 날그때가 정말 나의 생일일꺼야우우우 우우우 우우우우우우우우 우우우 우우우우우언젠가 너의 생일 축하의 말도 못하고다신 못 볼 너를 멀리서 바라만 보다가진 것 없는 나를 잊어주기만을 바라던바보같은 내가 더는 아니길내 나이 널 보낸 슬픈 나이그때 우리 웃음소리가 바람에 전해져널 다시 만나고 가득 안는 날그때가 정말 나의 생일일꺼야우우우 우우우 우우우우우우우우 우우우 Happy birthday to you
1794548,랩/힙합,U&I 그 누구보다도 소중한oh my ladyi just wanna luv u하루종일 네 생각만 해도 난it's alrighti can't luv without u오랜만에 난 정장으로 빼입어평소 같았음 왜 그리 크게입어라는 잔소리도 듣곤 하지만오늘만큼은 내게도 이런모습이 있단 걸보여주고 싶었지좀 특별한 걸내가 그녈 좋아하는 것 그건얘기만해도 즐거운 것 때문빨간 색깔의 공중전화기무선 호출기 음성 녹음하기함께 듣곤 하던 김건모 4집일밤 등 추억을 공유하지내가 이렇게 랩하는 것도듀스 때문인 것도 알지 뉴스보다는 책 보는 걸좋아하는 것도 같지물론 그것도 같지U&I 그 누구보다도 소중한oh my ladyi just wanna luv u하루종일 네 생각만 해도 난it's alrighti can't luv without u넌 나의 VIP널 위한 파티를 준비하지너와 나의 이야기절대 잊히지 않길널 위해 준비하지널 위한 작은 생일파티너에게 자주 표현은 안하지만언제나 넌 내 V I P책장서랍 속에 가득 모아논너의 사진과 편지들 모아논비상금 털어 함께 떠났던동해안 여행 남들이 모라든날 믿고 따라준 널 위해서내가 준비한 테잎을 선물할께작지만 정성으로 준비했어앞으로도 함께해주길 부탁해한병의 와인에두조각의 치즈케？？새콤한 라임에손수만든 칵테일멀리서 작게 들리는 Sade이것이 바로 우리 둘만의U&I 그 누구보다도 소중한oh my ladyi just wanna luv u하루종일 네 생각만 해도 난it's alrighti can't luv without u넌 나의 VIP널 위한 파티를 준비하지너와 나의 시간이절대 멈추지 않길수많은 밤뼈속까지 찬 외로움에배개를 끌어 안고힘들어 했던 시간들외로운 밤들이여이제 영원히 bye bye bye수많은 밤뼈속까지 찬 외로움에배개를 끌어 안고힘들어 했던 시간들외로운 밤들이여이제 영원히 bye bye byeU&I 그 누구보다도 소중한oh my ladyi just wanna luv u하루종일 네 생각만 해도 난it's alrighti can't luv without u
1794549,랩/힙합,넌 나의 VIP널 위한 파티를 준비하지너와 나의 시간이절대 멈추지 않길넌 나의 VIP널 위한 파티를 준비하지너와 나의 이야기절대 잊히지 않길활처럼 휜 초생달이하늘에 걸치고프레지아 꽃다발을 꼭 쥔 손저기 모퉁이에 난 골목길로돌아서면 그녀의 방이 있는 곳출출하다고 맥주 한 잔에치킨이나 먹자 말은 했지만사실 널 찾은 건 좀 특별한 이유있잖아 사실 널 처음 만난 이후매일같이 너만을생각하며 지냈어시험기간에도 공부가 안돼 죽겠어잘려고 누워도네 얼굴이 계속떠올라 몇일인가뜬 눈으로 지샜어더 이상은 못해 좋은 오빠 동생열번 찍어서 안넘어갈 여자는 없대아직 나이도 어린데차이면 또 어때오늘은 꼭 해야겠어너에게 고백넌 나의 VIP널 위한 파티를 준비하지너와 나의 시간이절대 멈추지 않길넌 나의 VIP널 위한 파티를 준비하지너와 나의 이야기절대 잊히지 않길한강이 보이는 스카이 라운지널 위해 준비한 다이아 반지참 놀라워넌 어찌나 아름다운지한마디 말 없이 날 웃게하지넌 날 위해 신이 주는 선물너만을 위해 내가 부르는 선율너와 내가 그리는 선들기억해 우리 이 겨울을너를 위해 준비했어니 맘에 들었으면 좋겠어너를 위해 준비했어니 맘에 들었으면 좋겠어It's your birthdayWe gon party likewe're rockstars세상에 널 보낸존재에 감사의 인사를언제나 항상 늘 영원할 이 마음환상 속에 잠재워둔 판타지한가지씩 깨워주고 싶어매 생일마다 매 기념일마다일십백천 nope 새로운 내일마다부디 매일 매일 색다른 모습으로꿈을 현실을 현실을 꿈 속으로이 비몽사몽 한 희몽인생에수면제와 모닝 콜이 되줘 서로에게오늘밤은 일상을 삼키는 리듬속에갇혀 흔들리며 마음껏 소리를 질러Move to the floorto the bed to the bed작지만 화려한 둘 만의 축제넌 나의 VIP널 위한 파티를 준비하지너와 나의 시간이절대 멈추지 않길넌 나의 VIP널 위한 파티를 준비하지너와 나의 이야기절대 잊히지 않길넌 나의 VIP널 위한 파티를 준비하지너와 나의 시간이절대 멈추지 않길넌 나의 VIP널 위한 파티를 준비하지너와 나의 이야기절대 잊히지 않길
1794551,랩/힙합,오래전 유행했던진실한 감정 진실한 영혼낯익은 멜로디를 부르며그들의 사랑은 강철보다 무겁고함께 걷던 그 거리의 풍경진실한 감정 진실한 영혼너무 소중한 걸 사랑해영혼은 깃털보다 가볍다나는 가끔씩 맨 몸으로 서있곤 해그런 날에는 너도 알지 오히려 왜마음이 편안해지는 기분내가 걸어왔고또 앞으로 가야 할 길을돌아보게 돼 어린시절 그땐 왜그렇게도 옹졸했는지큰 강물은 쉬 방향이바뀌지 않는다는 걸그 시절 나는 잘 몰랐지이제 난 인간은약하단 걸 아는 나이그리고 너와 난많이 닮아있음을 알지드넓은 우주 그 속의아주 작은 공간지구라는 행성그 안의 작은 드라마아무것도 가진 게없다고 느꼈던그 시절 널 만났지친한 친구도 아직잘 모르지만우리는 사실한 인터넷 채팅 사이틀통해 만났어옷깃을 닫고걸어야 할 10월의조금 차가워진 바람메마른 고민에 차어느 강물을 따라가도 나올 것 같지가 않던 종착역내가 항상 꿈꾸던 바다비슷했어 어릴적의 꿈에서벗어나지 못해 세상이란 늪에서항상 자신을 혼자라고 느꼈고사람은 원래가 차갑다고 느꼈어근데 너는 왜그렇게 맑은 눈으로 날 바라봤니어떻게 우리가사랑할 것을 알았지무엇도 이룩하지 못한못난 나의차갑던 두 손을 따스히 감싸줬지오래전 유행했던진실한 감정 진실한 영혼낯익은 멜로디를 부르며그들의 사랑은 강철보다 무겁고함께 걷던 그 거리의 풍경진실한 감정 진실한 영혼너무 소중한 걸 사랑해영혼은 깃털보다 가볍다네게 많은 말은 못해도이거 하나는 약속해난 절대 너를 배신하지 않아나는 사실 멋지거나또 쿨하진 않아하지만 가볍게거짓과 악수하지 않아그리고 또 하나 내가 노래할 때삶에 지치고 힘들어따듯함 원할땐너를 부를께또 네가 부를때항상 멀지 않은 곳에내가 서있을께오래전 유행했던진실한 감정 진실한 영혼낯익은 멜로디를 부르며그들의 사랑은 강철보다 무겁고함께 걷던 그 거리의 풍경진실한 감정 진실한 영혼너무 소중한 걸 사랑해그대의 빛 앞에눈부신 나널 본것 같애어떡해 나가슴 메어지는것 같애너를 먼곳에 두고난 아무것도 못해아무말 없어도 돼우리의 눈빛은서롤 알아볼때맘속 깊숙한 곳에서롤 담아뒀네수많은 사람들 가운데너만이 나의 곁에그것은 어떤것과도너를 바꿀수 없단걸너무나 확실하게 뜻해수많은 사람들 가운데너만이 나의 곁에그것은 어떤것과도너를 바꿀수 없단걸너무나 확실하게 뜻해
1794552,랩/힙합,오래전 유행했던낯익은 멜로디를 부르며함께 걷던 그 거리의 풍경너무 소중한 걸 사랑해나는 가끔씩 맨 몸으로 서있곤 해그런 날에는 너도 알지 오히려 왜마음이 편안해지는 기분내가 걸어왔고또 앞으로 가야 할 길을돌아보게 돼 어린시절 그땐 왜그렇게도 옹졸했는지큰 강물은 쉬 방향이바뀌지 않는다는 걸그 시절 나는 잘 몰랐지이제 난 인간은약하단 걸 아는 나이그리고 너와 난많이 닮아있음을 알지드넓은 우주 그 속의아주 작은 공간지구라는 행성그 안의 작은 드라마아무것도 가진 게없다고 느꼈던그 시절 널 만났지친한 친구도 아직잘 모르지만우리는 사실한 인터넷 채팅 사이틀통해 만났어옷깃을 닫고걸어야 할 10월의조금 차가워진 바람메마른 고민에 차어느 강물을 따라가도 나올 것 같지가 않던 종착역내가 항상 꿈꾸던 바다비슷했어 어릴적의 꿈에서벗어나지 못해 세상이란 늪에서항상 자신을 혼자라고 느꼈고사람은 원래가 차갑다고 느꼈어근데 너는 왜그렇게 맑은 눈으로 날 바라봤니어떻게 우리가사랑할 것을 알았지무엇도 이룩하지 못한못난 나의차갑던 두 손을 따스히 감싸줬지오래전 유행했던낯익은 멜로디를 부르며함께 걷던 그 거리의 풍경너무 소중한 걸 사랑해네게 많은 말은 못해도이거 하나는 약속해난 절대 너를 배신하지 않아나는 사실 멋지거나또 쿨하진 않아하지만 가볍게거짓과 악수하지 않아그리고 또 하나 내가 노래할 때삶에 지치고 힘들어따듯함 원할땐너를 부를께또 네가 부를때항상 멀지 않은 곳에내가 서있을께오래전 유행했던낯익은 멜로디를 부르며함께 걷던 그 거리의 풍경너무 소중한 걸 사랑해
